"last_name, first_name",player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
"Swanson, Dansby",621020,2026,458,302,0.216,0.223,-0.007,0.404,0.389,0.015,0.309,0.306,0.003
"Nuñez, Nasim",683083,2026,455,316,0.216,0.222,-0.006,0.251,0.273,-0.022,0.255,0.266,-0.011
"Soderstrom, Tyler",691016,2026,453,306,0.245,0.246,-0.001,0.472,0.411,0.061,0.35,0.327,0.023
"Moreno, Gabriel",672515,2026,453,330,0.303,0.29,0.013,0.468,0.453,0.015,0.371,0.366,0.005
"Mitchell, Garrett",669003,2026,452,252,0.26,0.26,0,0.411,0.437,-0.026,0.339,0.348,-0.009
"Collins, Isaac",686555,2026,451,292,0.232,0.228,0.004,0.353,0.319,0.034,0.308,0.299,0.009
"Mullins, Cedric",656775,2026,451,314,0.206,0.188,0.018,0.354,0.312,0.042,0.286,0.263,0.023
"Ramírez, José",608070,2026,447,329,0.243,0.278,-0.035,0.393,0.417,-0.024,0.318,0.343,-0.025
"Tovar, Ezequiel",678662,2026,447,305,0.208,0.223,-0.015,0.333,0.364,-0.031,0.259,0.277,-0.018
"Murakami, Munetaka",808959,2026,447,215,0.217,0.213,0.004,0.495,0.484,0.011,0.367,0.361,0.006
"Schanuel, Nolan",694384,2026,446,340,0.276,0.286,-0.01,0.385,0.389,-0.004,0.328,0.334,-0.006
"Springer, George",543807,2026,440,312,0.254,0.235,0.019,0.421,0.376,0.045,0.33,0.306,0.024
"Giménez, Andrés",665926,2026,436,326,0.241,0.229,0.012,0.356,0.323,0.033,0.282,0.267,0.015
"Vargas, Ildemaro",545121,2026,436,366,0.253,0.274,-0.021,0.388,0.372,0.016,0.297,0.301,-0.004
"Butler, Lawrence",671732,2026,436,268,0.23,0.239,-0.009,0.372,0.379,-0.007,0.313,0.319,-0.006
"Kurtz, Nick",701762,2026,434,211,0.256,0.244,0.012,0.483,0.483,0,0.381,0.374,0.007
"Bazzana, Travis",683953,2026,432,286,0.238,0.224,0.014,0.366,0.338,0.028,0.311,0.296,0.015
"Raleigh, Cal",663728,2026,432,235,0.171,0.184,-0.013,0.359,0.393,-0.034,0.29,0.309,-0.019
"Taveras, Leody",665750,2026,431,284,0.224,0.216,0.008,0.358,0.326,0.032,0.293,0.279,0.014
"McLain, Matt",680574,2026,427,260,0.191,0.223,-0.032,0.341,0.381,-0.04,0.284,0.31,-0.026
"McNeil, Jeff",643446,2026,427,348,0.263,0.28,-0.017,0.358,0.37,-0.012,0.297,0.307,-0.01
"Suárez, Eugenio",553993,2026,426,227,0.206,0.192,0.014,0.41,0.338,0.072,0.311,0.282,0.029
"Canzone, Dominic",686527,2026,424,289,0.255,0.268,-0.013,0.482,0.479,0.003,0.349,0.353,-0.004
"Stowers, Kyle",669065,2026,424,240,0.245,0.233,0.012,0.457,0.434,0.023,0.341,0.33,0.011
"Betts, Mookie",605141,2026,423,343,0.239,0.272,-0.033,0.404,0.42,-0.016,0.306,0.325,-0.019
"Lewis, Royce",668904,2026,419,278,0.231,0.243,-0.012,0.393,0.405,-0.012,0.303,0.313,-0.01
"Yelich, Christian",592885,2026,419,264,0.238,0.236,0.002,0.381,0.397,-0.016,0.307,0.315,-0.008
"Young, Jacob",696285,2026,418,310,0.246,0.259,-0.013,0.393,0.388,0.005,0.313,0.317,-0.004
"Langeliers, Shea",669127,2026,416,281,0.263,0.268,-0.005,0.497,0.513,-0.016,0.357,0.363,-0.006
"Peters, Tristan",671976,2026,414,301,0.278,0.254,0.024,0.465,0.39,0.075,0.353,0.315,0.038
"Baty, Brett",683146,2026,413,258,0.222,0.232,-0.01,0.339,0.381,-0.042,0.283,0.305,-0.022
"Sheets, Gavin",657757,2026,412,274,0.211,0.23,-0.019,0.388,0.379,0.009,0.313,0.317,-0.004
"Mangum, Jake",663968,2026,411,296,0.287,0.246,0.041,0.373,0.324,0.049,0.319,0.283,0.036
"France, Ty",664034,2026,410,278,0.292,0.251,0.041,0.508,0.429,0.079,0.373,0.332,0.041
"Schmitt, Casey",669477,2026,409,310,0.271,0.288,-0.017,0.483,0.512,-0.029,0.336,0.355,-0.019
"Buxton, Byron",621439,2026,408,272,0.254,0.248,0.006,0.511,0.488,0.023,0.355,0.343,0.012
"Benintendi, Andrew",643217,2026,408,278,0.247,0.244,0.003,0.429,0.406,0.023,0.319,0.311,0.008
"Pederson, Joc",592626,2026,407,259,0.233,0.243,-0.01,0.48,0.444,0.036,0.348,0.343,0.005
"Caballero, José",676609,2026,405,279,0.239,0.234,0.005,0.378,0.346,0.032,0.296,0.283,0.013
"Crawford, Justin",702222,2026,404,306,0.266,0.257,0.009,0.351,0.319,0.032,0.297,0.284,0.013
"Larnach, Trevor",663616,2026,404,287,0.265,0.26,0.005,0.422,0.398,0.024,0.34,0.328,0.012
"Karros, Kyle",691720,2026,403,267,0.263,0.255,0.008,0.419,0.402,0.017,0.344,0.338,0.006
"Johnston, Troy",687859,2026,402,292,0.288,0.282,0.006,0.407,0.387,0.02,0.339,0.33,0.009
"Ewing, A.J.",805999,2026,400,257,0.239,0.252,-0.013,0.352,0.39,-0.038,0.297,0.315,-0.018
"O'Hearn, Ryan",656811,2026,398,276,0.27,0.254,0.016,0.454,0.41,0.044,0.343,0.321,0.022
"Jung, Josh",673962,2026,396,286,0.294,0.286,0.008,0.441,0.432,0.009,0.353,0.347,0.006
"Hernández, Heriberto",681715,2026,395,245,0.231,0.248,-0.017,0.464,0.484,-0.02,0.338,0.352,-0.014
"Walls, Taylor",670764,2026,394,255,0.219,0.19,0.029,0.29,0.259,0.031,0.273,0.25,0.023
"Stephenson, Tyler",663886,2026,394,243,0.251,0.244,0.007,0.427,0.452,-0.025,0.331,0.337,-0.006
"Hernández, Teoscar",606192,2026,391,247,0.249,0.243,0.006,0.395,0.411,-0.016,0.311,0.315,-0.004
"Carter, Evan",694497,2026,389,248,0.192,0.199,-0.007,0.314,0.318,-0.004,0.276,0.279,-0.003
"Keith, Colt",690993,2026,389,281,0.257,0.276,-0.019,0.401,0.428,-0.027,0.317,0.335,-0.018
"Realmuto, J.T.",592663,2026,388,270,0.224,0.262,-0.038,0.362,0.396,-0.034,0.294,0.326,-0.032
"Pasquantino, Vinnie",686469,2026,388,279,0.246,0.251,-0.005,0.383,0.412,-0.029,0.317,0.328,-0.011
"Sanoja, Javier",691594,2026,388,334,0.28,0.261,0.019,0.418,0.335,0.083,0.323,0.283,0.04
"Crawford, J.P.",641487,2026,385,245,0.209,0.235,-0.026,0.335,0.355,-0.02,0.304,0.32,-0.016
"Steer, Spencer",668715,2026,384,256,0.238,0.246,-0.008,0.421,0.452,-0.031,0.326,0.342,-0.016
"Church, Nathan",701675,2026,383,289,0.239,0.238,0.001,0.366,0.359,0.007,0.285,0.283,0.002
"Horwitz, Spencer",687462,2026,381,270,0.247,0.225,0.022,0.383,0.356,0.027,0.329,0.316,0.013
"Peña, Jeremy",665161,2026,380,267,0.284,0.276,0.008,0.481,0.424,0.057,0.355,0.331,0.024
"Ramos, Heliot",671218,2026,380,247,0.244,0.255,-0.011,0.398,0.442,-0.044,0.306,0.326,-0.02
"Eldridge, Bryce",805811,2026,379,232,0.263,0.256,0.007,0.45,0.469,-0.019,0.353,0.355,-0.002
"McKinstry, Zach",656716,2026,377,276,0.214,0.233,-0.019,0.313,0.314,-0.001,0.276,0.284,-0.008
"Acuña Jr., Ronald",660670,2026,374,235,0.241,0.254,-0.013,0.409,0.469,-0.06,0.334,0.361,-0.027
"Moniak, Mickey",666160,2026,374,253,0.253,0.217,0.036,0.506,0.398,0.108,0.339,0.285,0.054
"Grissom, Vaughn",687093,2026,372,273,0.249,0.251,-0.002,0.389,0.393,-0.004,0.309,0.315,-0.006
"Langford, Wyatt",694671,2026,370,252,0.252,0.24,0.012,0.448,0.393,0.055,0.343,0.317,0.026
"Thomas, Lane",657041,2026,368,233,0.227,0.241,-0.014,0.389,0.37,0.019,0.316,0.314,0.002
"Soto, Juan",665742,2026,368,253,0.282,0.297,-0.015,0.542,0.59,-0.048,0.402,0.422,-0.02
"Mayo, Coby",691723,2026,366,217,0.219,0.226,-0.007,0.446,0.446,0,0.316,0.319,-0.003
"Massey, Michael",686681,2026,366,285,0.276,0.245,0.031,0.444,0.399,0.045,0.326,0.298,0.028
"Kelly, Carson",608348,2026,365,264,0.265,0.243,0.022,0.398,0.377,0.021,0.334,0.314,0.02
"Lukes, Nathan",664770,2026,364,283,0.264,0.256,0.008,0.389,0.345,0.044,0.313,0.292,0.021
